employer_fein,employer_name_raw,total_positions,filing_count
91-1983600,"T-Mobile USA, Inc.",213,213
77-0560389,"Fortinet, Inc.",213,65
94-2960235,"The MathWorks, Inc.",209,209
13-1623978,Weill Cornell Medical College,208,95
47-3298624,Hewlett Packard Enterprise Company,208,208
85-2732455,Cigna-Evernorth Services Inc.,207,207
45-2499523,"Social Finance, LLC",205,91
75-2728894,Siemens Industry Software Inc.,204,204
56-0223230,First Citizens Bank and Trust Co.,201,201
20-0072798,"Avant Healthcare Professionals, LLC.",200,30
72-0210640,"Capital One, National Association",196,196
76-0532643,"V-Soft Consulting Group, INC",195,195
23-2175755,"Comcast Cable Communications, LLC",194,194
94-1737782,"Charles Schwab & Company, Inc.",194,194
46-2951591,L&T Technology Services Limited,193,193
37-6000511,University of Illinois,190,190
45-4683454,"Optum Services, Inc.",189,189
94-1687665,BANK OF AMERICA N.A.,188,188
58-0566256,Emory University,187,187
84-1207329,"Atlas Air, Inc.",186,12
94-1156365,"The Leland Stanford, Jr University",184,184
59-6002052,UNIVERSITY OF FLORIDA,183,183
71-0427007,Federal Express Corporation,181,181
46-2972184,"Databricks, Inc.",180,180
94-6036493,"University of California, San Francisco",178,178
75-6002868,UT Southwestern Medical Center,178,178
35-0470950,Eli Lilly and Company,178,178
20-2480422,"Workday, Inc.",178,178
46-4254555,"KEYSIGHT TECHNOLOGIES, INC.",176,100
62-0646012,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,175,175
04-2103580,Harvard University,174,174
58-2400405,"INNOVA SOLUTIONS, INC.",174,174
43-0653611,Washington University,172,172
85-1428474,MSR TECHNOLOGY GROUP LLC,172,172
35-6001673,Indiana University,171,171
13-1502798,"American Airlines, Inc.",171,171
82-2530621,"ASML US, LP",171,171
84-6000555,University of Colorado,170,170
06-0646973,Yale University,167,167
36-2167817,Northwestern University,167,167
36-3556041,"SAP America, Inc.",166,166
43-2077033,"Synechron, Inc.",166,166
42-6004813,The University of Iowa,164,164
27-3727214,"ADP Technology Services, Inc.",164,164
91-2183967,Docusign Inc.,163,163
81-2345210,BYTEDANCE INC.,163,163
36-2177139,The University of Chicago,163,163
56-0578072,"Lowe's Companies, Inc.",163,163
35-6002041,Purdue University,156,156
26-1463205,"MONGODB, INC.",154,42
13-5598093,Columbia University,154,154
20-5947231,UBS Business Solutions US LLC,154,154
13-3806691,"BlackRock Financial Management, Inc.",153,153
95-6006144,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",152,152
31-6025986,The Ohio State University,152,152
68-0551851,PALANTIR TECHNOLOGIES INC.,151,151
46-2852392,"DoorDash, Inc.",151,151
86-2384522,SK Hynix NAND Product Solutions Corp,151,116
36-2596612,"Medline Industries, LP.",150,150
61-0647538,Humana Inc.,150,150
61-1648780,"Zoom Communications, Inc.",150,150
39-1833695,"Fiserv Solutions, LLC",149,149
41-6007513,University of Minnesota,148,148
38-3256847,"MIRACLE SOFTWARE SYSTEMS, INC.",148,57
45-5452795,SNAP INC.,147,147
74-6000531,Texas A&M University,145,145
38-6005984,MICHIGAN STATE UNIVERSITY,143,143
26-0320547,Coforge Limited,141,135
95-3382344,Caremark LLC,140,140
20-3361916,CitiusTech Inc.,140,140
87-0426325,SkyWest Airlines,140,14
63-0673043,EVONIK CORPORATION,140,41
25-0965591,University of Pittsburgh,139,139
04-2437166,"NTT DATA Americas, Inc.",138,138
74-6000203,The University of Texas at Austin,137,137
59-3797948,"Atlassian US, Inc.",137,137
13-6171197,Icahn School of Medicine at Mount Sinai,136,136
58-1454711,Methodist Le Bonheur Healthcare,136,15
95-3540776,Amgen Inc.,134,134
54-1986789,GlobalLogic Inc.,133,133
13-2857434,"CA, Inc.",133,33
62-1788235,"UT-BATTELLE, LLC (OAK RIDGE NATIONAL LABORATORY)",132,132
43-6003859,The Curators of the University of Missouri,132,132
56-0939887,Truist Bank,132,132
94-3480131,Louisiana Children's Medical Center,131,70
87-2928157,Home Depot Management Company LLC,130,130
13-4147118,Deloitte Services LP,130,64
77-0148231,"Cadence Design Systems, Inc.",129,129
77-0208119,"MATTSON TECHNOLOGY, INC.",129,9
38-3056583,HTC GLOBAL SERVICES INC.,127,127
22-3338103,"Artech, LLC",126,126
14-6013200,State University of New York at Stony Brook,126,125
05-0340626,CVS Pharmacy Inc.,126,126
45-5601289,Skilltune Technologies INC,126,126
58-1081267,"J.B. Hunt Transport, Inc.",125,125
58-6000206,SAVANNAH CHATHAM COUNTY PUBLIC SCHOOL SYSTEM,124,124
94-2347624,"Genentech, Inc.",123,67
83-0675925,Intellectt Inc,121,121
26-1618465,"Lucid USA, Inc.",120,120
46-0616572,AOG Resources LLC,120,6
88-4076938,TikTok USDS Joint Venture LLC,119,107
04-1867445,State Street Bank and Trust Company,119,119
63-6005396,The University of Alabama at Birmingham,118,118
13-1924236,Memorial Sloan Kettering Cancer Center,117,117
81-3622947,Waymo LLC,116,116
13-4309337,HCL GLOBAL SYSTEMS INC,116,116
20-5578222,"Twitch Interactive, Inc.",116,17
86-0196696,Arizona State University,115,115
27-5430079,Launch Technical Workforce Solutions LLC,115,13
13-4200183,"Oracle Financial Services Software, Inc.",115,11
47-3892853,TikTok Inc.,115,115
04-2697983,General Hospital Corporation,114,114
73-6017987,University of Oklahoma,114,114
46-0319070,"Monument Health Rapid City Hospital, Inc.",114,17
27-0509518,"DB Global Technology, Inc.",113,113
74-6001118,The University of Texas M.D. Anderson Cancer Center,113,113
75-1618004,"Micron Technology, Inc.",112,112
77-0584954,"PERSISTENT SYSTEMS, INC.",111,111
81-1194657,CORPORATE SOLUTIONS GENERAL INC,111,111
22-3408857,Nokia of America Corporation,110,110
37-0602744,Caterpillar Inc.,110,110
75-0289970,Texas Instruments Incorporated,110,110
04-2263040,Dana-Farber Cancer Institute,110,110
56-0532129,Duke University,110,110
75-6001278,Dallas Independent School District,109,109
36-3249852,"ZS Associates, Inc.",108,108
24-6000376,The Pennsylvania State University,107,107
06-1423207,Aetna Resources LLC,107,107
94-6036494,"University of California, Davis",107,107
94-2712976,LSI Corporation,107,22
21-0634501,The Trustees of Princeton University,106,106
27-0087176,CGI Federal Inc.,105,7
88-2210800,GAL AEROSTAFF US INC,105,7
38-3659021,Populus Group LLC,104,104
54-6001805,Virginia Polytechnic Institute & State University,104,104
26-0129478,"Indeed, Inc.",104,104
04-6002284,University of Massachusetts Chan Medical School,104,104
59-3583134,"SYSTEM SOFT TECHNOLOGIES, LLC",104,104
04-2103594,Massachusetts Institute of Technology,104,104
27-0989767,"Nutanix, Inc.",103,84
13-3851829,"Moody's Analytics, Inc.",103,94
54-6001796,The University of Virginia,103,103
47-5226798,TCW LLC,103,7
41-0793183,"Medtronic, Inc.",102,102
27-1094206,"Intuitive Surgical Operations, Inc.",102,102
94-6002123,"University of California, Berkeley",102,102
53-0196960,"National Institutes of Health, HHS",101,101
82-2344731,Open Avenues Foundation,101,101
95-6006143,"University of California, Los Angeles",100,100
30-0226524,Quadrant Technologies LLC,99,99
22-3658826,Genpact LLC,99,99
26-4310844,Morgan Stanley Smith Barney LLC,99,23
81-3443155,Yahoo Holdings Inc.,98,98
36-4481037,"Mastercard Technologies, LLC",98,98
23-1390618,The Devereux Foundation,98,60
26-0106960,"PHOTON INFOTECH, INC.",97,91
31-4379427,Battelle Memorial Institute,97,97
13-4035318,MPG Operations LLC,97,85
59-0735717,Howard Hughes Medical Institute,97,69
98-0347939,SLK AMERICA INC,96,96
81-0574547,"INTRAEDGE, INC.",96,96
20-2995336,SRI Tech Solutions Inc.,96,42
91-6001537,University of Washington,96,96
27-1290998,Zappos.com LLC,96,24
87-6000525,University of Utah,95,95
94-2819853,"Autodesk, Inc.",95,95
76-0745782,SONY INTERACTIVE ENTERTAINMENT LLC,95,95
31-1260729,Concentrix CVG Customer Management Group Inc.,95,95
58-0401110,Equifax Inc.,94,94
20-0991664,Roblox Corporation,92,92
20-3387670,Avago Technologies US Inc.,92,19
22-3765324,DECOFRUT INC,92,92
58-6002023,Georgia Institute of Technology,91,91
27-0187394,FCA US LLC,91,91
31-0833936,Cincinnati Children's Hospital Medical Center,90,90
62-6001636,THE UNIVERSITY OF TENNESSEE,89,89
11-3418133,NORTHWELL HEALTH,89,89
93-4690179,Itek Info Inc,89,89
15-0532082,Cornell University,89,89
20-1821766,"Brillio, LLC",88,88
20-8184941,"DIGIPULSE TECHNOLOGIES, INC.",88,88
81-4123561,Majestic IT Services Inc,88,88
94-3047598,"Gilead Sciences, Inc.",87,87
45-4572126,"Sapphire Software Solutions, Inc.",87,87
13-1740114,MONTEFIORE MEDICAL CENTER,87,85
13-5562309,NYU Grossman School of Medicine,87,87
16-0743134,Rochester General Hospital,87,36
04-2564110,KLA Corporation,86,86
31-1688884,"ERP Analysts, Inc.",86,86
95-1642394,The University of Southern California,86,86
74-2772066,"Samsung Austin Semiconductor, LLC.",85,85
27-0465600,"Stripe, Inc.",85,85
20-0443182,"NXP USA, Inc.",84,84
74-2652689,The University of Arizona,84,84
04-2312909,Brigham and Women's Hospital,84,84
13-5565207,KPMG LLP,83,83
47-0049123,Board of Regents of the University of Nebraska,83,83
25-6073026,UPMC Medical Education,83,83
32-0263188,Tek Leaders Inc,83,83
41-0907483,"BEST BUY CO., INC.",82,82
95-1643307,California Institute of Technology,82,82
95-2743174,"CBRE, INC.",82,82
39-6003457,Milwaukee Board of School Directors,82,82
11-1531569,WSP USA Inc.,81,81
31-0958666,"Cardinal Health, Inc.",81,81
90-1020167,"Chewy, Inc.",81,81
77-0398669,"Marvell Semiconductor, Inc.",81,81
13-5160382,The Bank of New York Mellon,81,81
23-1945930,"The Vanguard Group, Inc.",80,80
04-3481560,"Avco Consulting, Inc.",80,80
04-2774441,Children's Hospital Corporation,80,80
05-0501917,CVS Rx Services Inc.,80,80
75-6002622,Texas Tech University,80,80
27-4076662,Mirafra Inc,80,4
43-1339487,"Amdocs, Inc.",79,79
59-0624458,UNIVERSITY OF MIAMI,79,79
22-6001086,"Rutgers, The State University of New Jersey",79,79
71-0562003,"FedEx Freight, Inc.",79,79
34-0714585,Cleveland Clinic Foundation,78,68
04-3432319,"Akamai Technologies, Inc.",78,78
05-0258809,Brown University,78,78
55-6000842,West Virginia University,78,78
27-3572632,DFS Corporate Services LLC,78,78
22-3407945,"AUDIBLE, INC.",77,77
06-1506026,IQVIA Inc.,77,77
46-5121158,"Fiori Technology Solutions, Inc.",77,77
04-2103547,TRUSTEES OF BOSTON UNIVERSITY,76,76
04-2103881,"Beth Israel Deaconess Medical Center, Inc.",76,76
74-2616802,Dell USA L.P.,76,76
32-0375147,ABBVIE INC.,76,76
20-4561550,"Western Union, LLC",76,76
58-2555670,"Intercontinental Exchange Holdings, Inc.",76,76
74-1613878,Baylor College of Medicine,76,76
05-0412693,"Citizens Financial Group, Inc.",76,76
87-2931755,QUBITZ TECH SYSYTEMS LLC,76,76
59-0724459,"Adventist Health System/Sunbelt, Inc.",75,54
94-2951741,Lawrence Berkeley National Laboratory,75,75
94-3019135,Safeway Inc.,75,75
77-0188631,"Xilinx, Inc.",75,75
04-3039129,Vertex Pharmaceuticals Incorporated,74,74
26-2135579,Collaborate Solutions Inc.,74,74
27-2670899,"Target Enterprise, Inc.",74,74
42-1631761,NATSOFT CORPORATION,74,74
85-0808078,"Galileo Financial Technologies, LLC",74,17
13-4041496,Genesis Corp,73,73
39-1929719,"Experis US, LLC",72,72
36-2382580,Deere & Company,72,72
56-2059380,"Cotiviti, Inc.",72,72
91-1714307,"F5, Inc.",72,72
13-2595219,Verizon Data Services LLC,72,72
52-1471842,"RELX, Inc.",72,72
04-2348234,"Analog Devices, Inc.",71,71
93-0584541,"NIKE, Inc.",71,71
22-2640650,Honeywell International Inc.,71,71
13-3184273,DB USA Core Corporation,71,71
83-4284670,ATOS SYNTEL INC,70,70
27-4780643,"Tiger Analytics, Inc.",70,70
83-0784802,"KPIT Technologies, Inc.",70,70
74-2853258,"Perficient, Inc.",69,69
95-2775732,"Environmental Systems Research Institute, Inc.",69,69
99-4796906,"Rivian and Volkswagen Group Technologies, LLC",69,69
13-2730828,"Deutsche Bank Securities, Inc.",68,68
27-1069557,"PURE STORAGE, INC.",68,68
46-0723335,Maplebear Inc.,67,67
42-6004224,Iowa State University of Science and Technology,67,67
20-2632791,"HubSpot, Inc.",67,67
83-2050081,Stier Solutions Inc,67,67
63-6000724,Auburn University,67,67
77-0307520,"NetApp, Inc.",67,67
